Site;Sitio #;Sitio nombre;Fecha (m/d/a);Hora(0:00-24:00);Viento;Cielo;Rio;Especies;Num. 0-50;Num. >50-100;Num. >100;Sex;1;2;3;4;5;6;7;8;9;10;11;12;Sequence;Nota
1;1F;El Plan de Tule #1;2/10/2016;08:02;0;3;0;PSAMON;2;;;;;;;;;;;;;;;;G/B/M;
1;1F;El Plan de Tule #1;2/10/2016;08:02;0;3;0;AMACYC*;1;;;;;;;;;;;;;;;;G/B/M;
1;1F;El Plan de Tule #1;2/10/2016;08:02;0;3;0;GLABRA;1;;;;;;;;;;;;;;;;G/B/M;
1;1F;El Plan de Tule #1;2/10/2016;08:02;0;3;0;PSIMOR;1;;;;;;;;;;;;;;;;G/B/M;
1;1F;El Plan de Tule #1;2/10/2016;08:02;0;3;0;CYAMEL;3;;;;;;;;;;;;;;;;G/B/M;
1;1F;El Plan de Tule #1;2/10/2016;08:02;0;3;0;SALATR;2;;;;;;;;;;;;;;;;G/B/M;
1;1F;El Plan de Tule #1;2/10/2016;08:02;0;3;0;ARCCOL;1;;;M;;;;;;;;;;;;;G/B/M;
1;1F;El Plan de Tule #1;2/10/2016;08:02;0;3;0;MELAUR;1;;;M;;;;;;;;;;;;;G/B/M;
1;1F;El Plan de Tule #1;2/10/2016;08:02;0;3;0;EMPMIN;1;;;;;;;;;;;;;;;;G/B/M;
1;1F;El Plan de Tule #1;03/19/2016;08:15;1;0;0;AMACYC*;1;;;;;;;;;;;;;;;;B/G/M;
1;1F;El Plan de Tule #1;03/19/2016;08:15;1;0;0;FALSPA;1;;;;;;;;;;;;;;;;B/G/M;
1;1F;El Plan de Tule #1;03/19/2016;08:15;1;0;0;GLABRA;1;;;;;;;;;;;;;;;;B/G/M;
1;1F;El Plan de Tule #1;03/19/2016;08:15;1;0;0;CYCGUJ;1;;;;;;;;;;;;;;;;B/G/M;
1;1F;El Plan de Tule #1;03/19/2016;08:15;1;0;0;CORATR;2;;;;;;;;;;;;;;;;B/G/M;
1;1F;El Plan de Tule #1;03/19/2016;08:15;1;0;0;CAEAUR*;4;;;;;;;;;;;;;;;;B/G/M;
1;1F;El Plan de Tule #1;03/31/2016;07:25;2;0;0;SALATR;1;;;;;;;;;;;;;;;;G/B/M;
1;1F;El Plan de Tule #1;03/31/2016;07:25;2;0;0;ICTCHR;1;;;;;;;;;;;;;;;;G/B/M;
1;1F;El Plan de Tule #1;03/31/2016;07:25;2;0;0;DIVDIV;1;;;;;;;;;;;;;;;;G/B/M;
1;1F;El Plan de Tule #1;03/31/2016;07:25;2;0;0;MELFOR;1;;;;;;;;;;;;;;;;G/B/M;
1;1F;El Plan de Tule #1;03/31/2016;07:25;2;0;0;PSIMOR;1;;;;;;;;;;;;;;;;G/B/M;
2;2F;El Plan de Tule #2;2/10/2016;08:54;0;4;0;HYLLEU;2;;;;;;;;;;;;;;;;G/B/M;
2;2F;El Plan de Tule #2;2/10/2016;08:54;0;4;0;CANMOD;1;;;;;;;;;;;;;;;;G/B/M;
2;2F;El Plan de Tule #2;2/10/2016;08:54;0;4;0;GLABRA;1;;;;;;;;;;;;;;;;G/B/M;
2;2F;El Plan de Tule #2;2/10/2016;08:54;0;4;0;AMACYC*;1;;;;;;;;;;;;;;;;G/B/M;
2;2F;El Plan de Tule #2;2/10/2016;08:54;0;4;0;DIVDIV;1;;;;;;;;;;;;;;;;G/B/M;
2;2F;El Plan de Tule #2;03/19/2016;09:13;1;0;0;AIMRUS*;1;;;;;;;;;;;;;;;;G/B/M;
2;2F;El Plan de Tule #2;03/19/2016;09:13;1;0;0;CORATR;4;;;;;;;;;;;;;;;;G/B/M;
2;2F;El Plan de Tule #2;03/19/2016;09:13;1;0;0;BUTANT;1;;;;;;;;;;;;;;;;G/B/M;
2;2F;El Plan de Tule #2;03/19/2016;09:13;1;0;0;PSIMOR;1;;;;;;;;;;;;;;;;G/B/M;
2;2F;El Plan de Tule #2;03/19/2016;09:13;1;0;0;ICTCHR;1;;;;;;;;;;;;;;;;G/B/M;
2;2F;El Plan de Tule #2;03/19/2016;09:13;1;0;0;AMACYC*;1;;;;;;;;;;;;;;;;G/B/M;
2;2F;El Plan de Tule #2;03/19/2016;09:13;1;0;0;SETVIR;1;;;H;;;;;;;;;;;;;G/B/M;
2;2F;El Plan de Tule #2;03/19/2016;09:13;1;0;0;CANMOD;1;;;;;;;;;;;;;;;;G/B/M;
2;2F;El Plan de Tule #2;03/19/2016;09:13;1;0;0;HYLLEU;1;;;M;;;;;;;;;;;;;G/B/M;
2;2F;El Plan de Tule #2;03/19/2016;09:13;1;0;0;SPINOT;1;;;;;;;;;;;;;;;;G/B/M;
2;2F;El Plan de Tule #2;03/31/2016;08:20;4;0;0;CANMOD;1;;;;;;;;;;;;;;;;B/G/M;Mucho viento
2;2F;El Plan de Tule #2;03/31/2016;08:20;4;0;0;CAEAUR*;2;;;;;;;;;;;;;;;;B/G/M;
2;2F;El Plan de Tule #2;03/31/2016;08:20;4;0;0;HYLLEU;1;;;;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;VERPIN;1;;;M;;;;;;;;;;15;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;PSAMON;3;;;;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;TOLSUL;1;;;;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;MELAUR;1;;;;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;TURGRA;4;;;;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;EMPFLT*;1;;;;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;QUIMEX;1;;;;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;DIVDIV;1;;;;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;MNIVAR;1;;;M;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;ICTGAL;2;;;H,M;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;PITSUL;1;;;;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;AMACYC*;1;;;;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;PIRRUB;1;;;H;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;SETPEN;3;;;M;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;SETVIR;1;;;M;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;VIRFLF*;2;;;;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;EUPHIR;1;;;M;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;OREPER;1;;;;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/31/2016;12:00;2;0;0;SETPEN;1;;;M;;;;;;;;;;;;;G/B/M;
3;3C;Norma Café;03/31/2016;12:00;2;0;0;PITSUL;1;;;;;;;;;;;;;;;;G/B/M;
3;3C;Norma Café;03/31/2016;12:00;2;0;0;AMACYC*;1;;;;;;;;;;;;;;;;G/B/M;
3;3C;Norma Café;03/31/2016;12:00;2;0;0;DIVDIV;2;;;;;;;;;;;;;;;;G/B/M;
3;3C;Norma Café;03/31/2016;12:00;2;0;0;MELAUR;2;;;;;;;;;;;;;;;;G/B/M;
3;3C;Norma Café;03/31/2016;12:00;2;0;0;TURGRA;3;;;;;;;;;;;;;;;;G/B/M;
