Sitio #;Sitio #;Sitio nombre;Fecha (m/d/a);Hora(0:00-24:00);Viento;Cielo;Rio;Especies;Num. 0-50;Num. >50-100;Num. >100;Sex;1;2;3;4;5;6;7;8;9;10;11;12;Sequence
53;53F;Allan humid;3/8/2016;08:21;1;0;0;SALATR;2;;;;;;;;;;;;;;;;G/B/M
53;53F;Allan humid;3/8/2016;08:21;1;0;0;ICTCHR;1;;;;;;;;;;;;;;;;G/B/M
53;53F;Allan humid;3/8/2016;08:21;1;0;0;PSAWAG;2;;;;;;;;;;;;;;;;G/B/M
53;53F;Allan humid;3/8/2016;08:21;1;0;0;TROAED;1;;;;;;;;;;;;;;;;G/B/M
53;53F;Allan humid;3/8/2016;08:21;1;0;0;SPINOT;1;;;;;;;;;;;;;;;;G/B/M
53;53F;Allan humid;3/8/2016;08:21;1;0;0;CANMOD;1;;;;;;;;;;;;;;;;G/B/M
53;53F;Allan humid;3/8/2016;08:21;1;0;0;AMACYC*;1;;;;;;;;;;;;;;;;G/B/M
53;53F;Allan humid;3/8/2016;08:21;1;0;0;BASRUF;1;;;;;;;;;;;;;;;;G/B/M
53;53F;Allan humid;3/8/2016;08:21;1;0;0;SETVIR;1;;;M;;;;;;;;;;;;;G/B/M
53;53F;Allan humid;3/8/2016;08:21;1;0;0;CARPUS;1;;;M;;;;;;;;;;;;;G/B/M
53;53F;Allan humid;3/8/2016;08:21;1;0;0;ORTVET;;;4;;;;;;;;;;;;;;G/B/M
53;53F;Allan humid;3/8/2016;08:21;1;0;0;SETGRA;2;;;M;;;;;;;;;;;;;G/B/M
25;25F;Bosque bajo south 2;03/15/2016;10:39;2;0;0;BUTMAG;1;;;;;;;;;;;;;;;;B/G/M
25;25F;Bosque bajo south 2;03/15/2016;10:39;2;0;0;SETVIR;1;;;M;;;;;;;;;;;;;B/G/M
25;25F;Bosque bajo south 2;03/15/2016;10:39;2;0;0;PSAMON;1;;;;;;;;;;;;;;;;B/G/M
25;25F;Bosque bajo south 2;03/15/2016;10:39;2;0;0;EMPFLT*;1;;;;;;;;;;;;;;;;B/G/M
25;25F;Bosque bajo south 2;03/15/2016;10:39;2;0;0;CORATR;2;;;;;;;;;;;;;;;;B/G/M
16;16F;Bosque de Allan;03/14/2016;07:49;2;0;0;MELFOR;1;;;M;;;;;;;;;;;;;G/B/M
16;16F;Bosque de Allan;03/14/2016;07:49;2;0;0;SPINOT;4;;;;;;;;;;;;;;;;G/B/M
16;16F;Bosque de Allan;03/14/2016;07:49;2;0;0;CONCOO;1;;;;;;;;;;;;;;;;G/B/M
16;16F;Bosque de Allan;03/14/2016;07:49;2;0;0;CAMZON;1;;;;;;;;;;;;;;;;G/B/M
16;16F;Bosque de Allan;03/14/2016;07:49;2;0;0;SETGRA;2;;;M;;;;;;;;;;;;;G/B/M
16;16F;Bosque de Allan;03/14/2016;07:49;2;0;0;ACCCHI;1;;;;;;;;;;;;;;;;G/B/M
16;16F;Bosque de Allan;03/14/2016;07:49;2;0;0;MNIVAR;1;;;M;;;;;;;;;;;;;G/B/M
16;16F;Bosque de Allan;03/14/2016;07:49;2;0;0;CYASTE;2;;;;;;;;;;;;;;;;G/B/M
16;16F;Bosque de Allan;03/14/2016;07:49;2;0;0;SETVIR;2;;;M;;;;;;;;;;;;;G/B/M
16;16F;Bosque de Allan;03/14/2016;07:49;2;0;0;MYIPIC;2;;;;;;;;;;;;;;;;G/B/M
16;16F;Bosque de Allan;03/14/2016;07:49;2;0;0;PENNIG;1;;;;;;;;;;;;;;;;G/B/M
16;16F;Bosque de Allan;03/14/2016;07:49;2;0;0;VIRPHI;1;;;;;;;;;;;;;;;;G/B/M
1;1F;El Plan de Tule #1;03/31/2016;07:25;2;0;0;SALATR;1;;;;;;;;;;;;;;;;G/B/M
1;1F;El Plan de Tule #1;03/31/2016;07:25;2;0;0;ICTCHR;1;;;;;;;;;;;;;;;;G/B/M
1;1F;El Plan de Tule #1;03/31/2016;07:25;2;0;0;DIVDIV;1;;;;;;;;;;;;;;;;G/B/M
1;1F;El Plan de Tule #1;03/31/2016;07:25;2;0;0;MELFOR;1;;;;;;;;;;;;;;;;G/B/M
1;1F;El Plan de Tule #1;03/31/2016;07:25;2;0;0;PSIMOR;1;;;;;;;;;;;;;;;;G/B/M
2;2F;El Plan de Tule #2;03/31/2016;08:20;4;0;0;CANMOD;1;;;;;;;;;;;;;;;;B/G/M
2;2F;El Plan de Tule #2;03/31/2016;08:20;4;0;0;CAEAUR*;2;;;;;;;;;;;;;;;;B/G/M
2;2F;El Plan de Tule #2;03/31/2016;08:20;4;0;0;HYLLEU;1;;;;;;;;;;;;;;;;B/G/M
5;5C;Elias Café;03/15/2016;09:38;1;0;0;VERCRY;1;;;M;;;;;;;;;;;;12;G/B/M
5;5C;Elias Café;03/15/2016;09:38;1;0;0;PSAMON;1;;;;;;;;;;;;;;;;G/B/M
5;5C;Elias Café;03/15/2016;09:38;1;0;0;SETVIR;4;;;M;;;;;;;;;;;;;G/B/M
5;5C;Elias Café;03/15/2016;09:38;1;0;0;SETPIM*;1;;;;;;;;;;;;;;;;G/B/M
5;5C;Elias Café;03/15/2016;09:38;1;0;0;SETPEN;1;;;M;;;;;;;;;;;;;G/B/M
5;5C;Elias Café;03/15/2016;09:38;1;0;0;MELAUR;2;;;;;;;;;;;;;;;;G/B/M
5;5C;Elias Café;03/15/2016;09:38;1;0;0;SETMAG;1;;;M;;;;;;;;;;;;;G/B/M
5;5C;Elias Café;03/15/2016;09:38;1;0;0;VIRPHI;2;;;;;;;;;;;;;;;;G/B/M
5;5C;Elias Café;03/15/2016;09:38;1;0;0;LEPSOU;1;;;;;;;;;;;;;;;;G/B/M
5;5C;Elias Café;03/15/2016;09:38;1;0;0;VIRFLF*;1;;;;;;;;;;;;;;;;G/B/M
23;23F;Encino Rd 3;03/31/2016;13:00;3;0;0;PSIMOR;5;;;;;;;;;;;;;;;;G/B/M
23;23F;Encino Rd 3;03/31/2016;13:00;3;0;0;SETVIR;3;;;M;;;;;;;;;;;;;G/B/M
23;23F;Encino Rd 3;03/31/2016;13:00;3;0;0;OREPER;2;;;;;;;;;;;;;;;;G/B/M
23;23F;Encino Rd 3;03/31/2016;13:00;3;0;0;SETMAG;2;;;M,H;;;;;;;;;;;;;G/B/M
23;23F;Encino Rd 3;03/31/2016;13:00;3;0;0;MELFOR;1;;;;;;;;;;;;;;;;G/B/M
23;23F;Encino Rd 3;03/31/2016;13:00;3;0;0;GLABRA;1;;;;;;;;;;;;;;;;G/B/M
23;23F;Encino Rd 3;03/31/2016;13:00;3;0;0;MNIVAR;1;;;M;;;;;;;;;;;;;G/B/M
10;10C;Finca de Agusto Rojas;3/8/2016;10:25;0;0;0;SALATR;1;;;;;;;;;;;;;;;;G/B/M
