VEGID;TreeID;Species;A;B;C;D;E;F;G;H;Z
50P;1146;agua catillo;1;1;0;1;0;0;0;0;4
50P;1147;cirin de montan;3;0;0;0;0;0;0;0;2
50P;1148;nance de montan;0;0;0;1;0;0;0;0;5
50P;1149;coloradito;1;0;0;0;0;0;0;0;0
50P;1150;oreja macho;0;0;0;0;0;0;0;0;3
50P;1151;sapotillo;0;0;0;0;0;0;0;0;3
50P;1152;tempisque;2;1;1;0;0;0;0;0;1
50P;1153;palo brujo;0;3;0;0;0;0;0;0;1
50P;1154;cafecillo;0;0;0;0;0;0;0;0;0
50P;1155;pimentillo;1;0;0;0;0;0;0;0;2
50P;1156;palo de yolote;4;2;0;0;0;0;0;0;0
50P;1157;cedinero;0;1;0;0;0;0;0;0;0
50P;1158;palote;0;2;0;0;0;0;0;0;1
50P;1159;uk1;1;0;0;0;0;0;0;0;0
50P;1160;palomo;0;0;0;1;0;0;0;0;1
50P;1161;guaumo;0;4;3;2;0;0;0;0;0
50P;1162;encino;0;0;0;0;0;0;0;0;1
50P;1163;liquid amber;0;0;1;0;0;0;0;0;0
50P;1164;uva;0;0;0;0;0;0;0;0;3
50P;1165;uk2;0;0;0;0;0;0;0;0;1
1;854;pino;0;0;1;1;0;0;0;0;0
1;855;nance de montan;4;1;2;0;0;0;0;0;2
1;856;encino;1;0;0;0;0;0;0;0;0
10P;883;Uba madura;2;1;1;0;0;0;0;0;0
10P;884;guama;2;1;0;0;0;0;0;0;0
10P;885;uk1;0;1;0;0;0;0;0;0;0
10P;886;mahow;0;0;0;1;0;0;0;0;0
10P;887;confite;4;0;0;0;0;0;0;0;0
11P;888;aqua cate;0;0;0;1;0;0;0;0;0
11P;889;bucaro;0;1;0;0;0;0;0;1;0
12P;890;bucaro;0;0;1;0;0;2;0;1;0
12P;891;guama;1;1;0;0;0;0;0;0;0
12P;892;guanajikil;0;0;0;0;0;0;0;0;1
12P;893;isote;0;0;0;0;0;0;0;0;2
12P;894;cedro;0;1;0;0;0;0;0;0;0
13P;895;roble;0;1;1;4;0;0;0;0;8
13P;896;encino;0;0;0;0;0;0;0;0;1
14P;897;roble;2;3;8;1;0;0;0;0;0
15P;898;bucaro;1;0;0;0;0;0;0;0;0
15P;899;moulule;1;0;0;0;0;0;0;0;0
15P;900;confite;1;1;0;0;0;0;0;0;2
15P;901;guanajikil;1;0;0;0;0;0;0;0;0
15P;902;guama;0;0;1;0;0;0;0;0;0
15P;903;cedro espino;0;0;1;0;0;0;0;0;0
15P;904;lima;0;0;0;0;0;0;0;0;1
16P;905;roble;6;4;3;0;0;0;0;0;0
16P;906;pino;0;0;0;1;0;0;0;0;0
17P;907;tatascan;4;1;0;0;0;0;0;0;1
17P;908;guama;2;0;0;0;0;0;0;0;1
17P;909;mulule;0;0;0;0;0;0;0;0;1
17P;910;confite;2;0;0;0;0;0;0;0;0
17P;911;banana;0;1;3;0;0;0;0;0;0
17P;912;agua cate;0;0;0;0;0;1;0;0;0
18P;1172;nance de montan;3;2;0;0;0;0;0;0;3
18P;1173;encino;0;0;2;1;0;0;0;0;0
19P;915;bucaro;0;1;0;2;1;0;1;1;0
19P;916;acacia;0;0;0;0;1;0;0;0;0
22P;924;bucaro;2;1;2;1;0;0;0;0;3
22P;925;guama;3;4;0;0;0;0;0;0;1
22P;926;cedro;0;0;0;0;0;0;0;0;2
22P;927;cedro espino;0;1;0;0;0;0;0;0;0
23P;928;roble;8;10;1;0;0;0;0;0;6
23P;929;nance de montan;1;1;0;0;0;0;0;0;0
23P;930;encino;0;2;4;0;0;0;0;0;0
24P;931;bara blanca;6;2;0;0;0;0;0;0;0
24P;932;guama;1;2;0;0;0;0;0;0;1
24P;933;guanajikil;1;0;0;0;0;0;0;0;1
24P;934;banana;2;3;0;0;0;0;0;0;1
24P;935;uk1;0;0;0;0;0;0;0;1;0
24P;936;aqua cate;1;0;0;0;0;0;0;0;0
24P;937;confite;0;1;0;0;0;0;0;0;0
25P;938;roble;7;5;5;0;1;0;0;0;0
25P;939;uk1;3;0;0;0;0;0;0;0;22
25P;940;bara blanca;0;0;0;0;0;0;0;0;1
25P;941;nance de montan;0;1;0;0;0;0;0;0;0
26P;942;roble;2;2;0;3;0;0;0;0;5
26P;943;encino;0;1;0;0;0;0;0;0;0
26P;944;pipridae;0;0;0;0;0;0;0;0;2
26P;945;nance;2;0;0;0;0;0;0;0;0
27P;946;guama;4;1;0;0;0;0;0;0;1
27P;947;bucaro;2;1;1;1;0;0;0;0;0
27P;948;cedro espino;1;0;1;0;0;0;0;0;0
27P;949;uva;0;1;1;0;0;0;0;0;0
29P;950;banana;8;8;0;0;0;0;0;0;0
29P;951;guama;7;1;0;0;0;0;0;0;0
