Site;SiteName;VEGID;Type;LAT;LONG;ALTITUDE;Aspect;Slope;Description;Understory;Moss;H2O;Edge;habitat;edgedist;edgetype;pforest%;sforest%;natdist%;pasture%;coffee%;note
1;El Plan de Tule #1;1;F;15.22879237;-87.44550713;879.00;114;M;Forest > 100m in all directions. Canopy cover is minimal. Mature trees are mostly pine. Moderate slope. Some grazing along paths but other areas largely intact.;P;FALSO;FALSO;FALSO;SF;0;NA;0;100;0;0;0;
3;Norma Café;3P;C;15.18725292;-87.47303490;825.00;280;F;Flat coffee plot not well maintained.  Some coffee within 50m is maintained but not at point and to area north.  Surrfounded by fields, forest adjacent to NE. Aprox age 15 years;I;FALSO;VERDADERO;VERDADERO;AF;90;PASTURE;0;0;0;6;94;
4;Norma Fragment;4P;F;15.18199738;-87.47422789;868.00;-1;S;Oak fragment with point along ridge - sparse round leaved oak, sparse roble, very few pine, fragment possibly connects w/ forest along road to la montana, fewer leaves on oaks;G;VERDADERO;FALSO;VERDADERO;SF;80;PASTURE;0;96;0;4;0;
5;Elias Café;5p;C;15.17410180;-87.47996774;910.00;220;M;Age:10, Riparian coffee plot, all coffee planted near a stream or ravine, Coffee extends to forest fragment;L;FALSO;VERDADERO;VERDADERO;AF;10;SFOREST;0;30;0;0;70;
6;Finca de Horacio;6P;C;15.16796038;-87.39771025;973.00;220;M;Large variety of mostly broadleaf, <5 oaks, including roble, surrounded by mostly pine oak. A moderate flow creek and 2 small ravines break up the property. To the NE @ 50m is forest. Natural canopy with pino/oak adjacent, mostly @ higher elevation.  Coffee plot divided by strea,. Half organic. Litter present;I;FALSO;VERDADERO;VERDADERO;AF;40;SFOREST;0;21;0;0;79;
8;Finca de Elias (Near);8P;F;15.17653800;-87.47606537;897.00;349;M;"2013: Young trees and shrubs 2-3m with evidence of previous grazing. Significant understory cover. 
2011:Part of pine oak foreat fragment spanning a few KM on one or both sides of the ridge. Lower elevations along the ridge are used for grazing and are mostly clear of trees. Mix of pine, roble, and encino, roble is most dominant with most encinos being younger trees. Grazed with patches of grass and some forbes, ferns, young trees >1m, trees go as far as 100m in almost all directions but some areas blend in with the field, yielding more sunlight and understory, more grass";G;FALSO;FALSO;VERDADERO;SF;85;PASTURE;0;88;0;12;0;south 1/4 hidden by ridge
9;Finca de Norma (S Edge);9P;F;15.17065340;-87.47576019;983.00;20;M;Part of large mostly continuous fragment, a mixture of roble, pine, and encino, understory is patchy, on a slope with small ravine to south and more dense growth lower, mostly outside 100m;G;FALSO;FALSO;VERDADERO;SF;50;ROAD;0;100;0;0;0;
10;Finca de Agusto Rojas;10P;C;15.15627801;-87.50635036;1250.00;208;M;Narrow width coffee plot, moderate slope, brush to east, more coffee on opposite slope, forest nearby <500m;D;FALSO;VERDADERO;VERDADERO;AF;45;SFOREST;0;18;0;0;82;
11;Finca de Francisco;11P;C;15.12465427;-87.51455365;1203.00;340;M;terrain with variable slope, planted coffee of varied age, humid pine forest >100m up slope, boukaro significant part of canopy at time trees are bare. Large plots of café with large number of mature bucaro (since chopped down). Variable terrain with café at a variety of heights <.5m - >3m pine and possibly oak, several hundred meters higher. point at least 100m from edges. Mostly N aspect down to a stream several hundred meters lower.;I;FALSO;FALSO;VERDADERO;AF;50;SFOREST;0;7;0;0;93;becoming increasingly unmaintained w/ time
12;Finca de Ovidio;12P;C;15.16171686;-87.43457353;1044.00;319;M;3 coffee farms create large fairly continuous plot, most areas have weak slope, point is low and wet, most trees naturally occuring although some planted (Pito). Age 10;I;FALSO;VERDADERO;VERDADERO;AF;75;ROAD;0;0;0;0;100;a few tiny areas of veg in low, wet areas
